empresa,url,email,telefono,direccion,error
ASHO,https://www.asho.net/,asho@asho.net, 932651313,"Calle Pallars 147 Primera Planta08018 BarcelonaTelf.: (+34) 932 651 313Información general: informacion@asho.netASHO tratará sus datos personales para gestionar su solicitud y si nos lo autoriza para enviarle información comercial por medios electrónicos. Para más información y ejercicio de derechos consulte  AQUÍHe leído y acepto la política de privacidadAcepto recibir información de ASHO por email Privacidad|ContactoAll Rights Reserved Copyright © 2025        
 Designed by MageeWP Themes.  Aviso de PrivacidadUtilizamos cookies propias y de terceros para analizar nuestros servicios y poder ofrecer mejor servicio según tus hábitos de navegación (por ejemplo, páginas visitadas). Puedes obtener más información y configurar tus preferencias Aquí Aceptar RechazarPrivacidad y Política de Cookies   Cerrar Resumen de privacidadEste sitio web utiliza cookies para mejorar su experiencia mientras navega por el sitio web. Las cookies que se clasifican como necesarias se almacenan en su navegador, ya que son esenciales para el funcionamiento de las funcionalidades básicas del s...   Necesarias   Necesarias Siempre activado Las cookies necesarias son absolutamente esenciales para que el sitio web funcione correctamente. Esta categoría solo incluye cookies que garantizan funcionalidades básicas y características de seguridad del sitio web. Estas cookies no almacenan ninguna información personal.  No necesarias   No necesarias Las cookies que pueden no ser particularmente necesarias para que el sitio web funcione y se utilizan específicamente para recopilar datos personales del usuario a través de análisis, anuncios y otros contenidos integrados se denominan cookies no necesarias. Es obligatorio obtener el consentimiento del usuario antes de ejecutar estas cookies en su sitio web. GUARDAR Y ACEPTAR  Inscripciones abiertas para nuestro nuevo curso de codificación.CURSO-TALLER DE CODIFICACIÓN CLÍNICA CON CIE 10",
ASOCIACION FAMILIARES ENFERMOS ALZHEIMER Y OTRAS DEMENCIAS DE LANZAROTE,https://afalanzarote.com/,,,,
AUCAR TRAILER SL,https://aucartrailer.com/,aucar@aucartrailer.com,,,
AXA SEGUROS GENERALES SA DE SEGUROS Y REASEGUROS,https://www.axa.es/,,734108669,,
BERMUDEZ GUDIN SUSANA,https://www.conama.org/2024/personas/,,,"Caminos, Canales y Puertos
Colegio de Ingenieros de Caminos, Canales y Puertos. Demarcación de Madrid
Colegio de Registradores
Colegio Oficial de Arquitectos Vasco-Navarro
Colegio Oficial de Ingenieros Técnicos Forestales y Graduados en Ingeniería Forestal y del Medio Natural
Colegio Oficial de la Psicología de Madrid
Colegio Oficial de Químicos de Madrid
Colegio Profesional de Ciencia Política, Sociología, Relaciones Internacionales y Administración Pública de la Comunidad de Madrid (COLPOLSOC)
Col·lectiu Punt 6",
BEY BAIZAN FRANCISCO JAVIER,https://www.boe.es/gazeta/dias/1905/07/14/pdfs/GMD-1905-195.pdf,,,,"Page.goto: net::ERR_ABORTED at https://www.boe.es/gazeta/dias/1905/07/14/pdfs/GMD-1905-195.pdf
Call log:
  - navigating to ""https://www.boe.es/gazeta/dias/1905/07/14/pdfs/GMD-1905-195.pdf"", waiting until ""load""
"
BMW IBERICA SA,https://www.bmw.es/es/home.html,,,,
BOLD TECHNOLOGIES LEADING ESPANA SL,https://empresite.eleconomista.es/BOLD-TECHNOLOGIES-LEADING-ESPANA.html,,,,
BOSTON SCIENTIFIC IBERICA SA,https://www.bostonscientific.com/es-ES/home.html,,,,
BRENNTAG QUIMICA SAU,https://www.brenntag.com/es-es/,,,,
CAIXABANK SA,https://www.caixabank.es/empresa/home/empresas_es.html,,,,
CENTRALIA GLOBAL SRL,http://www.centralias.es/,,	911287017,,
COMPANIA ESPANOLA DE PETROLEOS SA,https://www.moeveglobal.com/en/,, 621000360,,
CONSTRUCCION E INGENIERIA MOVILLA ALONSO SL,https://www.cimaconstruccion.com/,cima@cimaconstruccion.com,,"Calle Gredos,19 Cáceres    CIMAServiciosConstrucción, rehabilitación y reformasIngenieríaEficiencia EnergéticaTrabajosConstrucción, rehabilitación y reformasEficiencia EnergéticaIngenieríaBlogContratar CIMAServiciosConstrucción, rehabilitación y reformasIngenieríaEficiencia EnergéticaTrabajosConstrucción, rehabilitación y reformasEficiencia EnergéticaIngenieríaBlogContratar   CONTACTO     LA OPCIÓN INTELIGENTE PARA CREAR, REFORMAR O MEJORAR TU HOGAR  La empresa de construcción en Cáceres para familias inteligentes e inconformistasSomos la constructora que te ofrece todo lo que necesitas para crear, reformar o mejorar tu hogar. En CIMA, hacemos realidad el diseño de tus sueños, usando técnicas y materiales innovadores para conseguir la máxima eficiencia energética.      Solicita una reunión     En CIMA nos ocupamos de todo  Una obra o una reforma no tienen porqué ser un dolor de cabezaLa mayoría de la gente piensa que empezar la aventura de la creación de un nuevo hogar o incluso una reforma importante o pequeña es una faena. Esto hace que se olviden de lo realmente importante: disfrutar de un hogar confortable a la vez que eficiente, vivir en la casa de sus sueños.En CIMA hemos diseñado procesos pensados 100% para tu comodidad. No sufras la obra, disfruta la aventura.    Asesoramiento desde el principio, siéntete acompañado por los profesionales de nuestra empresa constructora en Cáceres en todos los aspectos de tu proyecto. Desde el minuto uno hasta el final.    Planificación detallada: nos adelantamos al futuro y te contamos de forma clara todos los pasos desde que nos cuentas tu idea hasta que te la entreguemos terminada.    Profesionalidad: Una vez empecemos, no importará si se trata del arquitecto, el aparejador, el pintor o el carpintero, ponemos a tu disposición personal 100",
CONSTRUCCION ARTE Y RESTAURACION GARSAN SL,/search?num=7,,,,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""/search?num=7"", waiting until ""load""
"
CONSTRUCCIONES LLORENTE IZQUIERDO SL,https://www.construccionesllorente.com/,info@construccionesllorente.com,,,
CONSTRUCCIONES Y OBRAS LLORENTE SA,https://collosa.es/,construccion@collosa.es,,"Calle Aluminio, 17
Pol. de San Cristóbal
47012 Valladolid










+34 983 218 191",
CRONOGRAMA CONSTRUCCIONES SL,https://cronograma.net/,79cronograma@cronograma.netC,,"Calle Porta de la Mar, Valencia.



 P.I. Fuente del Jarro
Obras varias de reparación, mantenimiento, instalaciones y urbanización de las Naves Industriales del P.I. Fuente del Jarro. Reforma del almacén regulador y la zona de carga


 



 Algunos Clientes














Encuéntrenos aquí 
 


Acerca de Cronograma Cronograma es una empresa constructora valenciana constituida en 1994 dentro de un grupo de empresas ya consolidadas y con amplia experiencia en el sector para satisfacer, principalmente, la demanda de una tipología de obra más enfocada en la realización de rehabilitaciones, reformas y habilitaciones interiores, mantenimientos, tanto en el ámbito privado, como con las distintas administraciones públicas de la Comunidad Valenciana.
 


Contacto Nos puede encontrar en C/ Fernando Galiana, nº 2 bajo Esquina C/ Grabador Esteve
46930 - QUART DE POBLET (Valencia)
Teléfono:  960 05 08 79
cronograma@cronograma.net
www.cronograma.net

 









960 05 08 79cronograma@cronograma.netC/ Fernando Galiana, nº 2 bajo, Quart de Poblet, Valencia
 
 




Copyright © 2025",
CUALTIS SLU,https://cualtis.com/,,670004305,,
DEIMOS SPACE SL,https://deimos-space.com/,info@deimos-space.com,,,
DEJAVU GRAPHIC SL,https://dejavugraphic.com/,info@dejavugraphic.com,"
663898847",,
DEPARTAMENTO INFRAESTRUCTURAS TURISTICAS SL,https://www.ditgestion.net/,lander@ditgestion.net,930311234,,
ECO COMPUTER SL,/search?num=7,,,,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""/search?num=7"", waiting until ""load""
"
ECOASFALT SA,https://www.ecoasfalt.es/,,,calles de rodaje y plataformas.  VER MÁS       Ver más de nuestro trabajo  Compromiso Innovador y Calidad continuaForjando el Futuro de la Construcción de Carreteras quiénes somosEmpresa con más de 30,
ECONOCOM PRODUCTS & SOLUTIONS SAU,https://www.econocom.es/,marketingycomunicacion@econocom.com,,"Calle Cardenal Marcelo Spínola, 4
28016, Madrid
España
+34 91 411 91 20
marketingycomunicacion@econocom.com
 




acceso rapido



oportunidades de empleo




prensa


blog











¿tienes un proyecto?



síguenos



















créditos


información legal
Cookies parameters

aviso legal, política de privacidad y protección de datos



2025",
ELECTRONIC TRAFIC SA,https://www.grupoetra.com/,,721860857,,
ESPRINET IBERICA SLU,https://www.esprinet.com/es/,,,"PLAZA), 50197 Zaragoza
Registro Mercantil de Zaragoza,  Tomo 3.497, Folio 196, Hoja Z-43388
NIF: B-84443985
        

Política de Privacidad
Política Cookies
Editar Consentimentos




















Close menu 
 

×
Esta página web usa cookiesLas cookies son pequeños archivos de texto utilizados por los sitios web para hacer más eficiente la experiencia del usuario. Utilizamos cookies propias y de terceros para personalizar el contenido y los anuncios, para proporcionar funciones de redes sociales y para analizar nuestro tráfico. Compartimos información sobre su navegación con nuestros socios de análisis web, publicidad y análisis de redes sociales, que pueden combinarla con otra información.Pulse de nuevo el botón para continuar 0/1",
FUSBA,https://www.fusba.com/,,,"Avenida Galicia nº 44
33005 OVIEDO, ASTURIAS (ESPAÑA)


Tfnos:
+34 985 73 40 45
+34 985 42 06 59
Fax: +34 985 73 43 62",
GETINGE GROUP SPAIN SL,https://www.getinge.com/es/,,,,
GLOBAL CONSULTORIA Y TURISMO SL,https://globalcontur.com/,info@globalcontur.com,,,
GORGE MOTOR SL,https://cincodias.elpais.com/directorio-empresas/empresa/119511/gorge-motor,calidad.iberinform@iberinform.esDestacadas,,"Calle Actor Tallavi 2052004, Melilla (Melilla). EspañaACTIVIDAD CNAE4511 VENTA DE AUTOMÓVILES Y VEHÍCULOS DE MOTOR LIGEROS INFORME COMERCIAL Y DE RIESGO DE 
                              GORGE MOTOR SLOBJETO SOCIAL O ACTIVIDADCONSTITUYEN EL OBJETO SOCIAL, EL DESARROLLO DE LAS ACTIVIDADES SIGUIENTES EN EL MARCO EXCLUSIVE DE LAS CIUDADES DE CEUTA Y MELILLA: LA COMERCIALIZACION DE VEHICULOS A MATOR Y ALQUILER DE LOS MISMOS, REPUESTOS Y ACCESORIOS, TALLER MECANICO, ARTICULOS NAUTICOS Y AGRICOLAS.WEB-CONSULTE EL INFORME COMPLETO DE GORGE MOTOR SLMás información de GORGE MOTOR SLGORGE MOTOR SL, es una entidad situada en Calle Actor Tallavi 2052004, Melilla (Melilla) GORGE MOTOR SL tiene la forma jurídicaSociedad Limitada . Su actividad CNAE es Venta de automóviles y vehículos de motor ligeros. Dónde se ubica GORGE MOTOR SL  Evolución de ventas GORGE MOTOR SL202220232024AÑOTOTALVARIACIÓN (%)2021CONSULTAR-2022CONSULTAR43.262023CONSULTAR80.952024CONSULTAR63.14CONSULTE EL INFORME COMPLETO DE GORGE MOTOR SLPara la actualización o corrección de la información, la empresa
                titular de esta ficha puede dirigirse a calidad.iberinform@iberinform.esDestacadas en ventasVER TODASHerramientasCalcularIRPFSimulador de hipotecaCalcular sueldo netoPlanifica tu jubilaciónCambio de divisasAPP IOSAPP ANDROIDÚltimas noticias de CompañíasBiotecnologíaNatac: activos naturales tan omnipresentes como anónimos para una vida saludable Mamen  Lucio MaderueloEmpresasCoca-Cola Europacific se desploma un 11% en bolsa pese a ganar más y reafirmar previsionesCinco  Días Wed, 06 Aug 2025 12:34:00 GMTEmpresasVidrala registra una caída de beneficios y ventas del 10",
GRUPO DE INGENIERIA RECONSTRUCCION Y RECAMBIOS JPG SA,https://grupojpg.com/,,,,
GRUPO PAPREC SLU,https://www.paprec.com/es/,,,,
HALLON INTELLIGENCE SL,https://www.hallon.es/,,,,
HAZEN DISTRIBUIDORA GENERAL DE PIANOS SA,https://www.hazen.es/es/home?srsltid=AfmBOoqJjruUHyZWtRpVgIPDQ6JK3PmOQ_TZomOP15cf8bFnjwjLSR8I,hazenonline@hazen.es, 916395548,"Calle Arrieta, 8
                                            28013 Madrid
                                            Teléfono:  915594554 Atención al cliente  hazenonline@hazen.es  Enviar un Whatsapp  91 278 18 14    Síguenos HAZEN en twitter HAZEN en facebook HAZEN en instagram COMPARTIR      Pago seguro     



Cerrar
carrito



No hay ningún artículo en el carro de la compra








Comprobar







Desvincular promoción




Subtotal:

                            0,00",
IC 10 PROYECTOS TECNICOS Y CONSTRUCTIVOS SL,https://ic-10.es/,mad@ic-10.es,,"paseo de la habana, apertura prevista para el inicio del curso académico 2020-2021",
INGENIERIA DIGITAL Y MEDIO AMBIENTE SL,https://es.linkedin.com/company/idyma-ingenier%C3%ADa-digital-y-medio-ambiente-s-l,,,,
INICIATIVAS MUSICALES SL,http://www.e-imusica.com/,,,,
INTIMUS INTERNATIONAL IBERICA SA,https://www.intimus.com/es/,sales.de@intimus.com,,,
JAVIER GUTIERREZ MARDARAS,https://es.linkedin.com/in/javier-guti%C3%A9rrez-mardaras-53497681,,,,Page.content: Unable to retrieve content because the page is navigating and changing the content.
JESUS PALACIOS SERVIDIS SL,https://empresite.eleconomista.es/JESUS-PALACIOS-SERVIDIS.html,,,,
JORGE LUIS DE LEON HERNANDEZ,https://es.linkedin.com/in/luisleon,,,,Page.content: Unable to retrieve content because the page is navigating and changing the content.
KAPSCH TRAFFICCOM TRANSPORTATION SAU,https://www.kapsch.net/es,,,"paseo.Lee el artículo completo3. junio 2025Kapsch TrafficCom anuncia un innovador proyecto piloto de prioridad de semáforos para autobuses públicos en VitoriaKapsch TrafficCom, proveedor global de soluciones de transporte inteligente, se enorgullece de anunciar un proyecto piloto pionero en Vitoria, España.Lee el artículo completo27. mayo 2025Las autopistas alemanas son más seguras gracias a las alertas de obrasKapsch TrafficCom y Autobahn GmbH des Bundes han completado la primera fase del proyecto para aumentar la seguridad en las autopistas utilizando C-ITS.Lee el artículo completo15. mayo 2025Carreteras principales de Australia Occidental prueba la tecnología de los vehículos conectados para aumentar la seguridad vialCarreteras principales de Australia Occidental y Kapsch TrafficCom han llevado a cabo con éxito una prueba de tecnología de vehículos conectados.Lee el artículo completo25. abril 2025",
KLEMARK ESPECTACULOS TEATRALES SA,https://www.klemark.com/,,,,
KPMG ASESORES SL,https://kpmg.com/es/es.html,,,,
LA VOZ DE GALICIA SA,https://www.lavozdegalicia.es/,cartasaldirector@lavoz.es,,"calles de Galicia

La espera por un vehículo aumenta por los turistas, la falta de segundos conductores, la ampliación de las zonas peatonales, la nueva competencia y los problemas con las paradas de las estaciones de tren en reforma





Detenido por amenazar con un arma simulada a una camarera en A Coruña

El incidente se produjo en una cafetería de la avenida de Gran Canaria y el hombre padecería problemas mentales














Obligan a renovar la residencia a una extranjera que invirtió 690.000 euros en fincas de Vigo y Pontevedra



 	E. V. PITA







Detienen a un padre por llevarse a su hijo tras realizar disparos al aire en un barrio de Ferrol



 	Bea Abelairas







Alexandra Seara: «Intentamos ayudar a los concellos menos turísticos de la Ribeira Sacra para descongestionar los flujos»



 	UXÍA CARRERA













El ascensor Halo, escenario del amor

Santiago Moldes firma las sesión de fotos de una boda en el elevador: «La gente me dice que hemos embellecido la estructura con esta pareja»


											uxía lorenzo
										 					

















En tu edición


A Coruña
A Mariña
Arousa
Barbanza
Carballo
Deza
Ferrol
Lemos
Lugo
Ourense
Pontevedra
Santiago
Vigo









A Coruña















Alerta en la tercera ronda por un incendio al borde de la vía cerca de la salida del aeropuerto



											Rubén J. García
										 /  					

											M. C.
										 					








¿Por qué el agua del Orzán está tan fría?



 	Elena Silveira









El bar coruñés de los 3.000 vinilos donde aún se llora la muerte de Elvis

El Penique celebra todos los 16 de agosto una vigilia por el cantante


 	Carlos Portolés







E.T., Indiana Jones y Star Wars cobran vida con la Orquesta Sinfónica de Galicia

La agrupación rindió homenaje a las icónicas bandas sonoras de John Williams


											rUBÉN j. gARCÍA
										 /  					

											m. c.
										 					










 








Una boda de película al más puro estilo bangladesí



											Maruja Campoviejo
										 					








Silvia Díaz: ««Podemos crear con biotintas tejidos a medida para pacientes con artrosis»



											Rubén J. García
										 /  					

											R. D.
										 					








Bicis y patinetes centran los alegatos a la ordenanza de movilidad



 	David García








 
 
 
























Opinión









Javier Zorrilla  




		Lo que aún queda de la barbarie de ETA
		



 	Roberto L. Blanco Valdés












ALEJANDRO CAMBA  




		Media verdad
		



 	Carmen Lence












ANA GARCÍA  




 Oda ao ruído 




 	Jorge Mira












ALBERTO LOPEZ  




 O xardín dos avós 




 	Víctor F. Freixanes








Cartas al director







				«Corredores seguros en Gaza»
		










				«Ha sido un accidente, no es culpa de nadie»
		





            
            Envía tu carta a: cartasaldirector@lavoz.es





En vídeo





La imagen de la devastación en la carretera a Vilarmel 00:51Último adiós a Sebi Cuesta, el policía de Monforte fallecido en acto de servicio 00:28Feria Gastromar en Ribeira, escaparate de los pescados y mariscos de la ría de Arousa 00:40Julián Bustelo, alcalde de Rianxo, conta por que fala en galego 02:07A valoración de Rueda sobre os incendios 02:18Josefa Álvarez, agricultura que perdeu todo polos incendios 01:30La París de Noia en las fiestas de Noia 01:09Así quedó la aldea de Ferreira, en Montefurado (Quiroga) por el incendio de Larouco 01:10Margarita Robles visita la Brigada Galicia VII del Ejército de Tierra 00:40Muere un policía local en Monforte cuando perseguía a un conductor que se saltó un control 00:40












Economía









JUAN SALGADO  



El brillo del oro opaca los aranceles y sigue seduciendo a los inversores

El metal amarillo eleva su valor hasta alcanzar su máximo histórico y su potencial sigue al alza incluso después de que Donald Trump amagara con penalizar la exportación de lingotes


 	M. Sío Dopeso







Sabadell reparte 370 millones de euros entre sus accionistas el próximo viernes

Como consecuencia de este dividendo, BBVA tendrá que ajustar el precio de su opa





El pequeño milagro económico italiano

El Alto Adigio-Tirol del Sur, en la frontera norte del país, es una de las zonas de mayor renta de Italia, con mucho dinamismo innovador, industrial, turístico y administrativo


											Valentina Saini
										 					















Santiago, un desierto de vivienda nueva: «Solo una élite de compradores pueden asumir los costes»



 	Álvaro Sevilla







La nuclear recupera su sitio por las altas temperaturas en pleno pulso por su futuro



											Cristina Cándido
										 					




Somos mar




El enigma que diferencia congeladores atrasa el retiro de cientos de pescadores








Pedro Alonso  



Censo de caballitos de mar para evaluar su estado y su futuro en las Rías Baixas

Las fotos aportadas por los buceadores particulares son vitales en el Reto Signátidos


 	marcos gago






































Sociedad









fbxx  



Dos destinos de ensueño: de una escapada a San Andrés de Teixido a una ruta por el Douro portugués

La Voz escoge dos rincones en los que disfrutar de naturaleza y cultura a partes iguales


											ana f. cuba, brais suárez
										 					






Sarah Hrdy, antrópologa: «Los bebés tienen un poder transformador para los hombres»

La también primatóloga estadounidense es la autora de El padre en escena, una obra que habla sobre el hombre como figura cuidadora frente a su concepto tradicional como proveedor o protector


 	Iago Castro-Pérez







Ghislaine Maxwell, conseguidora de menores para Epstein: «La lista de clientes no existe»

El Departamento de Justicia de EE.UU. hace públicas conversaciones inéditas con la que era pareja del abusador


											Mercedes Gallego
										 					















Ester Expósito, sobre la canción que le dedicó Dani Martín: «Se montó una película en la cabeza»






Elsa Pataky, sobre el choque cultural en la educación de los niños: «Yo soy como las madres de España, y en Australia les sorprende»



											P. V.
										 					






Una vuelta al pasado a bordo de coches antiguos de la época dorada de los 50



 	Amara Santos





bueu




Francisco Guerra | EUROPAPRESS  



Dos ex de «La Isla de las Tentaciones», Hugo y Lara, sorprenden en Bueu con un una fiesta nocturna

El niño de la pareja, que cumplirá dos años en enero, fue bautizado en una iglesia con sus padres vestidos de blanco


 	María Hermida


















alsol




Betheone  



Malu Salgado: «Mi padre se siente súper orgulloso de tener una hija cantante como yo»



 	Victoria Bello







sociedad




Kirsty Needham | REUTERS  



Tuvalu, el país descubierto por un berciano cuyos habitantes tienen que emigrar por la subida del nivel del mar



											P. V.
										 					






sociedad




María José López  



La actriz Cristina Castaño da a luz a su primer hijo






FRABISA








Ensalada Niçoise o Nizarda


























YES








ANGEL MANSO  



«Hay comunidades que optan por que los perros no suban en el ascensor»



											CARMEN FERREIRO
										 /  					

											M. V.
										 					














La gallega que «ficha» artistas extranjeros para el MoMA: «No conozco otro museo que haga el trabajo que yo hago en este, es un privilegio»



 	MARÍA VIDAL















Sara acaba de conseguir una plaza de funcionaria: «Di a luz a mi sexto hijo mientras preparaba las oposiciones»



 	Susana Acosta






















Lee la edición impresa en versión digital PDF

Disfruta todos los días del periódico en formato digital desde cualquier dispositivo. Además accede a todos los contenidos de la web y a muchas más ventajas.



						Suscríbete

















Lee la edición impresa en versión digital PDF

Disfruta de tu edición del periódico impreso en formato PDF desde tu ordenador, móvil o tablet.


Accede desde el ordenador


App para IOS


App para Android









Salud y bienestar













María Pedreda  



¿El fin de las gafas de leer? Así funcionan las gotas para la presbicia

Estados Unidos aprobó un fármaco que contrae la pupila durante hasta diez horas para que el ojo enfoque mejor a distancias cortas


 	Laura Miyara





















Colexio Oficial de Psicoloxía de Galicia  



María del Carmen González, psicóloga experta en catástrofes: «En la recuperación será clave la sensación de abandono durante la emergencia»



 	Cinthya Martínez











iStock  



El sangrado de encías no es normal: «Nos debería preocupar igual que si nos sangra un ojo o un oído»



 	Lucía Cancela











María Pedreda  



ChatGPT no es tu psicólogo: «Puede generar una falsa sensación de ayuda terapéutica»



 	Laura Miyara

























Sabe Bien


Patrocinado por 









Elena Fernández  



Experiencia de sabores en Gastromar



 	Fran Brea







Un espeto de anguía é o gañador do concurso de receitas de Valga



											María Santamaría
										 /  					

											S. G.
										 					






Somos Agro


Patrocinado por 









ALBERTO LÓPEZ  



«As abellas non van ter que comer nun par de anos nas zonas afectadas»



 	francisco albo







La carne de vacuno dispara su facturación un 12 %






Ven a Galicia







MARCOS CREO  



Refrescarse en agua dulce también es posible en la costa



											sara pardo
										 /  					

											A. G.
										 					






Albergues gallegos detectan un brusco descenso de peregrinos por los incendios: «Es el primer agosto que me quedan camas libres»



 	I. Castro-Pérez







Red











Nuroe, la aplicación para entrenar el cerebro de los niños



 	Olga Suárez







¿El principio del fin del anonimato digital, al menos en cuanto a la edad?



 	C. Rodríguez









XL Semanal




Piketty, Sandel, Zucman...








La desigualdad, a examen: economistas y sociólogos alertan del fin del ascenso social



											Ana Tagarro
										 					






¿Arsénico por desesperación?








El pueblo donde cientos de hombres fueron asesinados... por sus esposas



											Judy Clarke
										 					






Roger Penrose, más allá del big bang








El hombre que mejor entiende el universo quiere descifrar a la humanidad



											Carlos Manuel Sánchez
										 					










España

















Más de cien personas afectadas por una intoxicación alimentaria en un hotel de La Manga

El 061 ha movilizado cinco unidades para la atención «in situ» y 20 pacientes han sido trasladados a urgencias



















EP  



La norma nada habitual de agotar la legislatura alcanzando los cuatro años



 	Manuel Varela











Manu Reino | EFE  



El alcalde socialista de Noblejas pone fin a su huelga de hambre para reclamar un instituto a Page y se recupera en casa










Policía Nacional  



Detenidas cinco personas por quemar con un soplete a otra para que abandonara una vivienda ocupada





















Oferplan


Descuento 20%


Sanxenxo
1",
LEVITEC SISTEMAS SL,https://levitec.es/,,,"Avda. Francesc Macia 168 Loc. 4



 
08640 - Olesa de Monserrat (Barcelona)








Portugal 










 
Avenida António Augusto de Aguiar, 19",
LIMIT TECNOLOGIES SL,https://www.limit.es/es/,,,,
LUIS JOSE CASTRO SILVA TREBELLO,https://trebello.com/politica-de-privacidad/,info@trebello.com,,,
MAPFRE VIDA SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS SOBRE LA VIDA HUMANA,https://www.mapfre.cl/,,,"plazado por uno de mayor valor denominado Pensión Garantizada Universal (PGU). Hacemos presente que dicho beneficio no requiere suscribir ningún tipo de solicitud para que se haga efectivo.
Atentamente,
MAPFRE Compañía de Seguros de Vida de Chile S.A.
















Norma de Carácter General N°471",
MARTA MORENO SANTO ROSA,https://www.agcex.org/mujeres/marta-moreno-santo-rosa/,agcex@agcex.org, 924954200,,
MATERIALES Y CONSTRUCCIONES GAMA SL,/search?num=7,,,,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""/search?num=7"", waiting until ""load""
"
METROPOLIS COMUNICACION SL,https://metropoliscom.com/,,678910111,,
MUNDO MANAGEMENT SA,https://www.grupomundo.es/,,,"Plaza de Toros los Califas+ Más detallesManu SánchezSábado 13 de septiembreRincón de la VictoriaAuditorio Municipal + Más detallesVanesa MartínViernes 19 de septiembre CórdobaPlaza de Toros los Califas+ Más detallesRaphaelSábado 20 de septiembreCórdobaPlaza de Toros+ Más detalles 






TODOS LOS CONCIERTOS












Nuestras marcas 




















101 MUSIC FESTIVAL

MÁLAGA 




















LOS CALIFAS FEST

CÓRDOBA




















MARBELLA LIVE FEST 

MARBELLA 




















LOONA SUMMER FESTIVAL

EL MORCHE (TORROX)















Últimas noticias  











				El 101 Music Festival Costa del Sol celebra su quinta edición en La Malagueta con un cartel diverso y espíritu solidario			



			Leer más »		










				Pastora Soler conmemora en Sevilla sus 30 años de carrera con un memorable en la Maestranza			



			Leer más »		










				Luis Fonsi llega este verano Málaga dentro del 101",
