Empresa,CIF,URL,Tipo_URL,Dirección,Teléfono,Email,Dirección_val,Teléfono_val,Email_val,Auditoría
BERMUDEZ GUDIN SUSANA,53532560Z,https://www.instagram.com/susanagudin/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
BEY BAIZAN FRANCISCO JAVIER,32862751Y,https://es-es.facebook.com/flamencoycopla/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
BMW IBERICA SA,A28713642,https://www.bmw.es/es/home.html,http,Error,Error,Error,✗,✗,✗,D:✗ T:✗ E:✗
BOLD TECHNOLOGIES LEADING ESPANA SL,B86801495,https://www.iberinform.es/empresa/6251762/bold-technologies-leading-espana,http,"Avenida Arroyomolinos, 13, Poligono Empresarial El En",No encontrado,atencionclientes@iberinform.es,✓,✗,✓,D:✓ T:✗ E:✓
BOSTON SCIENTIFIC IBERICA SA,A80401821,https://www.bostonscientific.com/es-ES/home.html,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
BRENNTAG QUIMICA SAU,a59181537,https://www.brenntag.com/es-es/,http,"Polígono Industrial La Isla 41703, Dos Hermanas (Sevilla) España M",No encontrado,No encontrado,✓,✗,✗,D:✓ T:✗ E:✗
CAIXABANK SA,A08663619,https://www.caixabank.es/particular/home/particulares_es.html,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
CENTRALIA GLOBAL SRL,B85576429,http://www.centralias.es/,http,No encontrada,12-28-0129380,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
COMPANIA ESPANOLA DE PETROLEOS SA,A28003119,https://www.moeveglobal.com/en/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
CONSTRUCCION E INGENIERIA MOVILLA ALONSO SL,B10379170,https://www.cimaconstruccion.com/,http,No encontrada,629 778 562 92,cima@cimaconstruccion.com,✗,✓,✓,D:✗ T:✓ E:✓
CONSTRUCCION ARTE Y RESTAURACION GARSAN SL,B09535709,/search?num=3,otro,No disponible,No disponible,No disponible,✗,✗,✗,D:✗ T:✗ E:✗
CONSTRUCCIONES LLORENTE IZQUIERDO SL,B42209742,https://www.construccionesllorente.com/,http,No encontrada,+34 975 23 04 04 ,info@construccionesllorente.com,✗,✓,✓,D:✗ T:✓ E:✓
CONSTRUCCIONES Y OBRAS LLORENTE SA,A47015409,https://collosa.es/,http,"Calle Aluminio, 17 Pol",20190405 103,construccion@collosa.es,✓,✓,✓,D:✓ T:✓ E:✓
CRONOGRAMA CONSTRUCCIONES SL,B96262092,https://cronograma.net/,http,No encontrada,960 05 08 79 ,cronograma@cronograma.net,✗,✓,✓,D:✗ T:✓ E:✓
CUALTIS SLU,B84527977,https://cualtis.com/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
DEIMOS SPACE SL,B83028084,https://deimos-space.com/,http,No encontrada,+34 91 806 34 50 ,info@deimos-space.com,✗,✓,✓,D:✗ T:✓ E:✓
DEJAVU GRAPHIC SL,B86935897,https://dejavugraphic.com/,http,No encontrada,663 898 847 ,info@dejavugraphic.com,✗,✓,✓,D:✗ T:✓ E:✓
DEPARTAMENTO INFRAESTRUCTURAS TURISTICAS SL,B20984746,https://www.ditgestion.net/,http,No encontrada,943219732 ,lander@ditgestion.net,✗,✓,✓,D:✗ T:✓ E:✓
ECO COMPUTER SL,B33568130,/search?num=3,otro,No disponible,No disponible,No disponible,✗,✗,✗,D:✗ T:✗ E:✗
ECOASFALT SA,A81055279,https://www.ecoasfalt.es/,http,Carretera A-1503 en Zaragoza Ecoasfalt finaliza la rehabilitaci,No encontrado,No encontrado,✓,✗,✗,D:✓ T:✗ E:✗
ECONOCOM PRODUCTS & SOLUTIONS SAU,A63319008,https://www.econocom.es/,http,No encontrada,+34 91 411 91 20 ,marketingycomunicacion@econocom.com,✗,✓,✓,D:✗ T:✓ E:✓
ELECTRONIC TRAFIC SA,A46138921,https://www.grupoetra.com/,http,No encontrada,2025-04-30 12,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
ESPRINET IBERICA SLU,B84443985,https://www.esprinet.com/es/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
FUSBA,G33021270,https://www.fusba.com/,http,No encontrada,"+34 985 73 40 45",No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
GETINGE GROUP SPAIN SL,B82736471,https://www.getinge.com/es/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
GLOBAL CONSULTORIA Y TURISMO SL,B74442583,https://globalcontur.com/,http,No encontrada,34 677 95 11 02 ,info@globalcontur.com,✗,✓,✓,D:✗ T:✓ E:✓
GORGE MOTOR SL,B29961695,https://motorok.com/talleres/gorge-motor-s-l/,http,No encontrada,952673865 ,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
GRUPO DE INGENIERIA RECONSTRUCCION Y RECAMBIOS JPG SA,A80875495,https://grupojpg.com/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
GRUPO PAPREC SLU,B06972830,https://www.paprec.com/es/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
HALLON INTELLIGENCE SL,B85837078,https://www.hallon.es/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
HAZEN DISTRIBUIDORA GENERAL DE PIANOS SA,A28179836,https://www.hazen.es/es/home?srsltid=AfmBOoq2F_UbRuOAbLapQcBO5lcSJ2d-XyN964FlfYg3IJ53FI1Ibe2G,http,"Carretera de La Coruña (A-6), Km 17,200 Las Rozas, 28231 Madrid Tel",91 278 18 14 ,hazenonline@hazen.es,✓,✓,✓,D:✓ T:✓ E:✓
IC 10 PROYECTOS TECNICOS Y CONSTRUCTIVOS SL,B84384296,https://ic-10.es/,http,"Calle Hermosilla, 64 6",2 1000-2000,mad@ic-10.es,✓,✓,✓,D:✓ T:✓ E:✓
INGENIERIA DIGITAL Y MEDIO AMBIENTE SL,B83278283,https://es.linkedin.com/company/idyma-ingenier%C3%ADa-digital-y-medio-ambiente-s-l,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
INICIATIVAS MUSICALES SL,B81792897,http://www.e-imusica.com/,http,No encontrada,+34 91 506 15 31 ,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
INTIMUS INTERNATIONAL IBERICA SA,A60367927,https://www.intimus.com/es/,http,No encontrada,No encontrado,sales.de@intimus.com,✗,✗,✓,D:✗ T:✗ E:✓
JAVIER GUTIERREZ MARDARAS,72065548Q,https://es.linkedin.com/in/javier-guti%C3%A9rrez-mardaras-53497681,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
JESUS PALACIOS SERVIDIS SL,B91231506,https://empresite.eleconomista.es/JESUS-PALACIOS-SERVIDIS.html,http,Error,Error,Error,✗,✗,✗,D:✗ T:✗ E:✗
JORGE LUIS DE LEON HERNANDEZ,45444136T,https://www.navarra.es/es/-/nota-prensa/los-cantantes-jorge-luis-de-leon-y-tina-gorina-ganan-del-10-concurso-internacional-de-canto-julian-gayarre-,http,"Avenida Carlos III 2, Planta Baja 31002 Pamplona ",+34 948 012 012 ,navarra@navarra.es,✓,✓,✓,D:✓ T:✓ E:✓
KAPSCH TRAFFICCOM TRANSPORTATION SAU,A78107349,https://www.kapsch.net/es,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
KLEMARK ESPECTACULOS TEATRALES SA,A87755617,https://www.klemark.com/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
KPMG ASESORES SL,B82498650,https://kpmg.com/es/es.html,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
LA VOZ DE GALICIA SA,A15000649,https://www.lavozdegalicia.es/,http,No encontrada,900 154 218 ,cartasaldirector@lavoz.es,✗,✓,✓,D:✗ T:✓ E:✓
LEVITEC SISTEMAS SL,B22263644,https://levitec.es/,http,"Carretera Nacional 240, Km",16 50009 976 1,No encontrado,✓,✓,✗,D:✓ T:✓ E:✗
LIMIT TECNOLOGIES SL,B07167448,https://www.limit.es/es/,http,No encontrada,971 84 45 53 ,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
LUIS JOSE CASTRO SILVA TREBELLO,52934483Y,https://trebello.com/politica-de-privacidad/,http,No encontrada,+34 679 208 853 ,info@trebello.com,✗,✓,✓,D:✗ T:✓ E:✓
MAPFRE VIDA SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS SOBRE LA VIDA HUMANA,A28229599,https://www.mapfre.cl/,http,No encontrada,600 700 4000 ,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
MARTA MORENO SANTO ROSA,47003910Y,https://www.agcex.org/mujeres/marta-moreno-santo-rosa/,http,No encontrada,924 009 808 ,agcex@agcex.org,✗,✓,✓,D:✗ T:✓ E:✓
MATERIALES Y CONSTRUCCIONES GAMA SL,B60393642,https://empresite.eleconomista.es/MATERIALES-CONSTRUCCIONES-GAMA.html,http,Error,Error,Error,✗,✗,✗,D:✗ T:✗ E:✗
METROPOLIS COMUNICACION SL,B38402756,https://metropoliscom.com/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
MUNDO MANAGEMENT SA,A29269487,https://www.grupomundo.es/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
MUNDOARTI GLOBAL SL,B98763493,https://www.mundoarti.com/,http,No encontrada,No encontrado,contacto@mundoarti.com,✗,✗,✓,D:✗ T:✗ E:✓
MYLAN PHARMACEUTICALS SL,B62735675,https://www.viatris.es/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
NOCTURNA TEAM SL,B86694056,https://www.iberinform.es/empresa/5950059/nocturna-team,http,"Avenida Republica Argentina, 1, Ccial Cuat",No encontrado,atencionclientes@iberinform.es,✓,✗,✓,D:✓ T:✗ E:✓
OESIA NETWORKS SL,B95087482,https://grupooesia.com/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
ORACLE IBERICA SRL,B78361482,https://www.oracle.com/es/,http,No encontrada,+34 91 6036188 ,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
PADECASA OBRAS Y SERVICIOS SA ASFALTOS VICALVARO SL,290968,https://www.padecasa.com/,http,No encontrada,+34 91 636 42 40 ,padecasa@padecasa.com,✗,✓,✓,D:✗ T:✓ E:✓
PAVASAL EMPRESA CONSTRUCTORA SA,A46015129,https://www.pavasal.com/,http,"Calle Tres Forques, 149 Pol",961 920 809 ,central@pavasal.com,✓,✓,✓,D:✓ T:✓ E:✓
PRIMUSIC CARMEN PRIETO SL,B83033308,https://empresite.eleconomista.es/PRIMUSIC-CARMEN-PRIETO.html,http,Error,Error,Error,✗,✗,✗,D:✗ T:✗ E:✗
PROSER SISTEMAS MEDICOS SL,B39545678,https://es.linkedin.com/company/proser-sistemas-medicos-sl,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
PROSOL INGENIERIA SL,B88522958,https://www.prosol.com/,http,No encontrada,+34 91 636 99 66 ,info@prosol.com,✗,✓,✓,D:✗ T:✓ E:✓
PROYECTOS DE INGENIERIA EXTREMENOS SL,B06264691,https://www.prodiex.com/,http,"Calle Pamplona, 45, Pol",924 303 647 ,info@prodiex.com,✓,✓,✓,D:✓ T:✓ E:✓
REDONDO Y GARCIA SA,A28021350,https://www.redondoygarcia.com/,http,No encontrada,91 691 82 20 ,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
RUBEN SANCHEZ GALLEGO,76143117F,https://es.wikipedia.org/wiki/Rub%C3%A9n_Gallego,http,No encontrada,8420466727 ,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
SAILO BUSINESS SL,B45649696,https://www.sailobusiness.com/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
SERVEIS DE L ESPECTACLE FOCUS SA,A58116369,https://www.focus.cat/es/,http,No encontrada,933 097 538 ,infobcn@focus.cat,✗,✓,✓,D:✗ T:✓ E:✓
SERVICIOS ARTISTICOS INSULARES SLU,B09771445,https://serviciosartisticosinsulares.es/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
SHARP ELECTRONICS EUROPE LIMITED SUCURSAL EN ESPANA,W8263042G,https://www.sharp.es/sharp-B2B-espa%C3%B1a,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
SIEMENS HEALTHCARE SLU,B60805769,https://www.siemens-healthineers.com/es,http,"Calle Mahonia, 2, Planta 4",No encontrado,dataprivacy.func@siemens-healthineers.com,✓,✗,✓,D:✓ T:✗ E:✓
SOLEDAD SANCHEZ JAPON,45810935H,https://www.facebook.com/soledad.sanchezjapon/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
STUDIO SAWU SL,B72606775,https://www.sawustudio.com/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
SUMA SOCIAL Y SERVICIOS SLU,B87345880,https://www.sumaempleo.com/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
SUMINISTROS Y MANTENIMIENTOS CAP SL,B86858552,https://www.suministroscap.com/,http,No encontrada,918334449 67,info@suministroscap.es,✗,✓,✓,D:✗ T:✓ E:✓
SUR DE IMPORTACION Y EXPORTACION DE NAVALEZ DE CADIZ SL,B72256175,/search?num=3,otro,No disponible,No disponible,No disponible,✗,✗,✗,D:✗ T:✗ E:✗
SYRUP SL,B67671255,https://www.syrup.es/,http,No encontrada,+34 954 732 272 ,info@syrup.es,✗,✓,✓,D:✗ T:✓ E:✓
THE & PARTNERSHIP IBERIA PUBLICIDAD SL,B87758462,https://empresite.eleconomista.es/THE-PARTNERSHIP-IBERIA-PUBLICIDAD.html,http,Error,Error,Error,✗,✗,✗,D:✗ T:✗ E:✗
TRASYTEL 2015 SL,B19575844,https://empresite.eleconomista.es/TRASYTEL-2015.html,http,Error,Error,Error,✗,✗,✗,D:✗ T:✗ E:✗
TUBERIAS Y MONTAJES SAN JOSE SL,B91087445,https://tumosasl.es/,http,No encontrada,954 912 613 ,info@tumosasl.es,✗,✓,✓,D:✗ T:✓ E:✓
UNION PROTECCION CIVIL SL,B02331981,http://unionproteccioncivil.es/,http,No encontrada,967 66 36 46 ,canaldenuncias@unionproteccioncivil.es,✗,✓,✓,D:✗ T:✓ E:✓
URBAN CENTRAL IBERUM GESTION SL,B01898188,https://urbanconstruccion.com/politica-de-privacidad/,http,No encontrada,925 59 45 25 ,info@urbanconstruccion.com,✗,✓,✓,D:✗ T:✓ E:✓
UROMAC SYSTEMS SA,A33327321,https://uromac.com/,http,No encontrada,+34 985 471 063 ,info@uromac.com,✗,✓,✓,D:✗ T:✓ E:✓
UTE BABEL ATOS GISS 2022 7210,289016,https://contrataciondelestado.es/wps/portal/!ut/p/b0/04_Sj9CPykssy0xPLMnMz0vMAfIjU1JTC3Iy87KtUlJLEnNyUuNzMpMzSxKTgQr0w_Wj9KMyU1zLcvQjvTwiDB0DvUKCyrQjAsMMwl3NcyIDym1t9Qtycx0BlhlcQg!!/,http,No encontrada,10000400057,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
UTE RETRASOL,287768,https://www.icac.gob.es/sites/default/files/2025-01/BOICAC%20140%20accesible.pdf,pdf,Archivo PDF,Archivo PDF,Archivo PDF,✓,✓,✓,D:✓ T:✓ E:✓
UTE ROMA INGENIEROS CONSULTORES SL INCRESCENDO CONSULTORES SL,U72559479,https://romaingenieros.net/,http,No encontrada,955 677 872 ,romaingenieros@romaingenieros.net,✗,✓,✓,D:✗ T:✓ E:✓
VALORIZA SERVICIOS MEDIOAMBIENTALES SA,A28760692,https://www.valorizasm.com/es/,http,No encontrada,+34 91 443 42 00 ,info.valorizamamb@valorizasm.com,✗,✓,✓,D:✗ T:✓ E:✓
VISTALEGRE SOLUTIONS SL,B14404065,https://www.vistalegre.com/,http,"Calle Del Transporte, 1 14191 ",957 018 400 ,soluciones@vistalegre.com,✓,✓,✓,D:✓ T:✓ E:✓
WOOCLAP SA,BE0563691645,https://www.wooclap.com/es/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
